atclaatst_naam_tekst#gesl#atclaatst#uitgiftes#DDD#vergoeding#gebruikers#DDD_per_uitgifte#vergoeding_per_uitgifte#vergoeding_per_gebruiker#vergoeding_per_DDD#DDD_per_gebruiker#uitgifte_per_gebruiker#lftkls
Ranitidine #M #A02BA02 #134 #3230 #22415 #24 #24,09 #167,30 #930,10 #6,94 #134,00 #5,56 #25-44
Ranitidine #M #A02BA02 #406 #12260 #86592 #90 #30,22 #213,40 #957,40 #7,06 #135,50 #4,49 #45-64
Ranitidine #M #A02BA02 #321 #10630 #73910 #59 #33,08 #230,00 #1259,00 #6,95 #181,00 #5,47 #65-74
Ranitidine #M #A02BA02 #482 #12470 #87827 #73 #25,85 #182,10 #1206,00 #7,04 #171,20 #6,62 #75 +
Ranitidine #V #A02BA02 #1097 #7030 #48675 #401 #6,41 #44,37 #121,50 #6,92 #17,56 #2,74 #0-4
Ranitidine #V #A02BA02 #263 #4990 #35409 #62 #18,93 #134,40 #574,20 #7,10 #80,87 #4,27 #5-14
Ranitidine #V #A02BA02 #119 #2820 #19824 #27 #23,77 #167,00 #724,30 #7,03 #103,10 #4,34 #15-24
Ranitidine #V #A02BA02 #251 #7880 #55513 #58 #31,35 #220,80 #958,10 #7,04 #136,00 #4,34 #25-44
Ranitidine #V #A02BA02 #661 #19060 #131810 #143 #28,82 #199,30 #924,70 #6,91 #133,70 #4,64 #45-64
Ranitidine #V #A02BA02 #395 #10560 #73636 #82 #26,74 #186,50 #902,80 #6,97 #129,40 #4,84 #65-74
Ranitidine #V #A02BA02 #767 #15170 #105820 #108 #19,77 #137,90 #981,00 #6,98 #140,60 #7,11 #75 +
Famotidine #M #A02BA03 #49 #1800 #1737 #19 #36,85 #35,65 #93,42 #0,97 #96,58 #2,62 #5-14
Famotidine #M #A02BA03 #544 #22820 #19794 #251 #41,98 #36,41 #78,75 #0,87 #90,79 #2,16 #15-24
Famotidine #M #A02BA03 #3344 #152200 #129660 #1284 #45,51 #38,78 #101,00 #0,85 #118,60 #2,60 #25-44
Famotidine #M #A02BA03 #10692 #513600 #440980 #3061 #48,04 #41,24 #144,10 #0,86 #167,80 #3,49 #45-64
Famotidine #M #A02BA03 #10850 #442800 #380810 #2337 #40,81 #35,10 #163,00 #0,86 #189,50 #4,64 #65-74
Famotidine #M #A02BA03 #11780 #357700 #315790 #1959 #30,37 #26,81 #161,20 #0,88 #182,60 #6,01 #75 +
Famotidine #V #A02BA03 #47 #1590 #1508 #19 #33,44 #31,82 #79,14 #0,95 #83,19 #2,49 #5-14
Famotidine #V #A02BA03 #1077 #41320 #35399 #475 #38,39 #32,88 #74,57 #0,86 #87,05 #2,27 #15-24
Famotidine #V #A02BA03 #5352 #240200 #206340 #1998 #44,89 #38,56 #103,20 #0,86 #120,20 #2,68 #25-44
Famotidine #V #A02BA03 #16832 #837100 #719780 #5143 #49,74 #42,76 #139,90 #0,86 #162,80 #3,27 #45-64
Famotidine #V #A02BA03 #14617 #636500 #551190 #3589 #43,55 #37,71 #153,60 #0,87 #177,40 #4,07 #65-74
Famotidine #V #A02BA03 #21094 #534100 #475090 #3099 #25,32 #22,52 #153,30 #0,89 #172,30 #6,81 #75 +
Nizatidine #M #A02BA04 #1 #30 #20 #1 #30,00 #19,65 #19,65 #0,66 #30,00 #1,00 #65-74
Misoprostol #M #A02BB01 #2 #10 #54 #2 #4,66 #26,14 #26,67 #5,61 #4,75 #1,02 #15-24
Misoprostol #M #A02BB01 #10 #105 #446 #7 #10,28 #43,43 #62,39 #4,22 #14,77 #1,44 #25-44
Misoprostol #M #A02BB01 #59 #840 #3334 #16 #14,27 #56,65 #205,30 #3,97 #51,71 #3,62 #45-64
Misoprostol #M #A02BB01 #88 #2030 #8543 #21 #23,19 #97,53 #405,40 #4,21 #96,41 #4,16 #65-74
Misoprostol #M #A02BB01 #38 #1240 #4652 #18 #32,80 #122,90 #254,90 #3,75 #68,00 #2,07 #75 +
Misoprostol #V #A02BB01 #1098 #1570 #6659 #988 #1,43 #6,06 #6,74 #4,23 #1,59 #1,11 #15-24
Misoprostol #V #A02BB01 #11516 #17630 #71448 #9919 #1,53 #6,20 #7,20 #4,05 #1,78 #1,16 #25-44
Misoprostol #V #A02BB01 #513 #2550 #10483 #411 #4,97 #20,43 #25,50 #4,11 #6,20 #1,25 #45-64
Misoprostol #V #A02BB01 #162 #2310 #9271 #60 #14,25 #57,14 #153,40 #4,01 #38,26 #2,68 #65-74
Misoprostol #V #A02BB01 #111 #1330 #5737 #40 #11,96 #51,65 #144,90 #4,32 #33,54 #2,81 #75 +
Omeprazol #M #A02BC01 #14045 #211200 #648020 #2500 #15,03 #46,14 #259,20 #3,07 #84,45 #5,62 #0-4
Omeprazol #M #A02BC01 #4139 #224800 #156370 #1177 #54,32 #37,78 #132,90 #0,70 #191,00 #3,52 #5-14
